tema,clasificacion,ponderacion,sumatoria_ponderaciones,contador,grado_de_conocimiento,matriz_ponderacion,matriz_inferencia,matriz_inferencia_final,dificultad,discriminacion,adivinacion,asintota,orden_evaluacion
83,4,50.0,50.0,2,0,"[100, 0, 0]","[23.847997084061017, 34.25293043950972, 41.89907247642927]","[61.9300430309628, 17.277789906959047, 20.79216706207815]",-1.71428571,1.0,0.23847997084061018,1,-1
182,4,30.416666666666668,91.25,4,0,"[100, 0, 0]","[24.902189337081857, 25.234412315171983, 49.863398347746156]","[62.45109466854093, 12.617206157585992, 24.931699173873078]",-0.85714286,1.0,0.24902189337081856,1,-1
198,1,0,0,1,0,"[0, 0, 0]","[44.09724337449845, 30.84391981325239, 25.05883681224917]","[0, 0, 0]",2.05714286,1.0,0.44097243374498446,1,-1
204,1,0,0,1,0,"[0, 0, 0]","[26.05124082699734, 32.327371203377425, 41.62138796962524]","[0, 0, 0]",2.57142857,1.0,0.2605124082699734,1,-1
6,1,0,0,1,0,"[0, 0, 0]","[0.704963390447754, 5.156842935331815, 94.13819367422043]","[0, 0, 0]",-2.82857143,1.0,0.00704963390447754,1,-1
7,1,0,0,1,0,"[0, 0, 0]","[17.168779757589068, 23.976682487847597, 58.85453775456334]","[0, 0, 0]",-2.82857143,1.0,0.17168779757589067,1,-1
10,1,0,0,1,0,"[0, 0, 0]","[40.14971931147078, 21.954673236411217, 37.895607452118]","[0, 0, 0]",-0.08571429,1.0,0.40149719311470783,1,-1
35,1,0,0,1,0,"[0, 0, 0]","[21.516076185053066, 25.215924257870366, 53.267999557076564]","[0, 0, 0]",-2.82857143,1.0,0.21516076185053065,1,-1
37,1,0,0,1,0,"[0, 0, 0]","[7.040216173670134, 18.482452419148178, 74.4773314071817]","[0, 0, 0]",-2.82857143,1.0,0.07040216173670134,1,-1
54,4,59.375,59.375,2,0,"[100, 0, 0]","[31.086060422824126, 33.948077736461144, 34.96586184071472]","[65.54263026793728, 16.974183009714253, 17.483186722348474]",0.6,1.0,0.31086060422824124,1,-1
61,3,67,100,2,1,"[0, 100, 0]","[19.120589296292152, 24.898186061609685, 55.98122464209816]","[9.560294648146076, 62.449093030804846, 27.99061232104908]",-0.94285714,1.0,0.19120589296292154,1,6
78,4,100.0,100,2,2,"[0, 0, 100]","[25.053779032671592, 33.65168078214691, 41.29454018518149]","[12.526889513438846, 16.825840391044146, 70.647270095517]",-1.8,1.0,0.2505377903267159,1,-1
82,3,100,0,1,2,"[0, 0, 100]","[20.692966928048822, 38.15476699081264, 41.152266081138535]","[0.0, 0.0, 100.0]",-1.8,1.0,0.20692966928048823,1,1
181,3,50,0,1,0,"[100, 0, 0]","[8.942542243691975, 25.96740651524779, 65.09005124106024]","[54.47127112184599, 12.983703257623896, 32.54502562053012]",-0.94285714,1.0,0.08942542243691974,1,4
192,1,0,0,1,0,"[0, 0, 0]","[34.21562922942877, 33.99043597236775, 31.793934798203495]","[0, 0, 0]",1.37142857,1.0,0.34215629229428773,1,-1
197,1,0,0,1,0,"[0, 0, 0]","[30.400141048087598, 37.77371446449929, 31.82614448741311]","[0, 0, 0]",1.97142857,1.0,0.304001410480876,1,-1
203,1,0,0,1,0,"[0, 0, 0]","[20.08501669073105, 36.085282134253035, 43.82970117501591]","[0, 0, 0]",2.48571429,1.0,0.2008501669073105,1,-1
12,1,0,0,1,0,"[0, 0, 0]","[12.93503851164132, 21.902185036631266, 65.16277645172742]","[0, 0, 0]",-2.91428571,1.0,0.1293503851164132,1,-1
19,4,74.21875,74.21875,2,1,"[0, 100, 0]","[21.10790772456091, 35.084407972244286, 43.8076843031948]","[10.55395404338588, 67.54220437745732, 21.903841579156794]",0.51428571,1.0,0.2110790772456091,1,-1
23,3,100,292.5,5,2,"[0, 0, 100]","[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]",-1.02857143,1.0,0.0,1,7
24,4,100.0,300,4,2,"[0, 0, 100]","[24.94875047381656, 29.846403755473904, 45.20484577070953]","[12.47437504388755, 14.923202808945767, 72.60242214716668]",-1.88571429,1.0,0.2494875047381656,1,-1
26,1,0,0,1,0,"[0, 0, 0]","[27.191370504324546, 24.74495261174793, 48.06367688392753]","[0, 0, 0]",-2.91428571,1.0,0.27191370504324547,1,-1
53,4,59.375,59.375,2,0,"[100, 0, 0]","[33.89050317313168, 33.93961569151375, 32.169881135354565]","[66.94539795728821, 16.970242916213017, 16.084359126498775]",0.51428571,1.0,0.33890503173131675,1,-1
94,4,100.0,100,2,2,"[0, 0, 100]","[29.787116393599653, 44.214139513336406, 25.998744093063948]","[14.893558111872476, 22.10706978629919, 62.999372101828335]",-2.91428571,1.0,0.29787116393599655,1,-1
186,1,0,0,1,0,"[0, 0, 0]","[42.225971235302715, 34.01073435957364, 23.763294405123652]","[0, 0, 0]",-0.17142857,1.0,0.4222597123530272,1,-1
191,1,0,0,1,0,"[0, 0, 0]","[23.082494816538297, 38.78816108429696, 38.12934409916475]","[0, 0, 0]",1.28571429,1.0,0.23082494816538296,1,-1
196,1,0,0,1,0,"[0, 0, 0]","[34.96419936998822, 34.03784143902829, 30.997959190983483]","[0, 0, 0]",1.88571429,1.0,0.34964199369988225,1,-1
202,1,0,0,1,0,"[0, 0, 0]","[34.99300810446392, 29.73798361378784, 35.26900828174825]","[0, 0, 0]",2.4,1.0,0.3499300810446392,1,-1
2,4,100.0,300,4,2,"[0, 0, 100]","[28.09872519636772, 31.025403572427596, 40.87587123120468]","[14.04936259818386, 15.512701786213798, 70.43793561560234]",-1.97142857,1.0,0.2809872519636772,1,-1
13,1,0,0,1,0,"[0, 0, 0]","[32.20538092939912, 34.900890331042184, 32.893728739558696]","[0, 0, 0]",-2.31428571,1.0,0.3220538092939912,1,-1
14,4,99.66517857142857,697.65625,8,2,"[0, 0, 100]","[29.90434954425017, 33.1009903048748, 36.99466015087502]","[14.952174772125087, 16.550495152437403, 68.4973300754375]",-2.14285714,1.0,0.2990434954425017,1,-1
17,4,74.21875,74.21875,2,1,"[0, 100, 0]","[30.08521605672378, 35.780396065257555, 34.134387878018664]","[15.042606010990092, 67.8902022921056, 17.067191696904313]",-2.22857143,1.0,0.3008521605672378,1,-1
20,4,93.75,656.25,8,2,"[0, 0, 100]","[30.141283025406423, 34.155813072323106, 35.70290390227047]","[15.070641512703212, 17.077906536161553, 67.85145195113523]",-2.14285714,1.0,0.30141283025406423,1,-1
40,1,0,0,1,0,"[0, 0, 0]","[30.06658678426377, 35.919318276134526, 34.01409493960171]","[0, 0, 0]",-2.4,1.0,0.3006658678426377,1,-1
51,1,0,0,1,0,"[0, 0, 0]","[33.009844838362056, 36.85921307910818, 30.13094208252976]","[0, 0, 0]",-2.48571429,1.0,0.33009844838362057,1,-1
52,1,0,0,1,0,"[0, 0, 0]","[30.027596188503196, 37.89904238460981, 32.07336142688699]","[0, 0, 0]",-2.31428571,1.0,0.300275961885032,1,-1
1,4,99.53125,497.65625,6,2,"[0, 0, 100]","[29.875086761038887, 34.81788895701087, 35.30702428195024]","[14.937543380519442, 17.408944478505436, 67.65351214097512]",-3.0,1.0,0.2987508676103889,1,-1
